Mpio;Género;Edad;Educ;Cqt_bm;Problema;Gestión_Harry_González_Gestionpp;Gestion_Edwin_Valdéz_Gestionpp;Gestión_Álvaro_Pacheco_Gestionpp;GestiónAndrés_Perdomo_Gestión;Votopartd;Gob_vota;Gob_nuna_vota
FLORENCIA;Femenino;45-54;Tecnología;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Desempleo;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Posgrado;Mal Camino;Corrupción;Aprueba;Ns/Nr;Aprueba;Desaprueba;Centro Democrático;Luis Francisco Ruíz Aguilar;Luz Mila Cicery Ortiz
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Luis Francisco Ruíz Aguilar;Diego Ramírez Osorio
FLORENCIA;Masculino;45-54;Primaria;Mal Camino;Corrupción;Desaprueba;Ns/Nr;Desaprueba;Desaprueba;Centro Democrático;Luz Mila Cicery Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;45-54;Tecnología;Buen Camino;Desempleo;Aprueba;Aprueba;Aprueba;Aprueba;Ns / Nr;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Cambio Radical;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Ns/Nr;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Ns / Nr;Corrupción;Desaprueba;Aprueba;Desaprueba;Desaprueba;Ns / Nr;Luz Mila Cicery Ortiz;Ns/Nr
FLORENCIA;Masculino;25-34;Tecnología;Mal Camino;Deforestación;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Alianza Verde;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Secundaria;Buen Camino;Salud;Aprueba;Aprueba;Aprueba;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Universidad;Ns / Nr;Educación;Aprueba;Aprueba;Desaprueba;Ns/Nr;Alianza Social Independiente - ASI;Luis Antonio Ruiz Cicery;James Urrego Carvajal
FLORENCIA;Femenino;35-44;Primaria;Mal Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Desaprueba;Cambio Radical;César Augusto Torres Ríos;Oscar Raúl Rojas
FLORENCIA;Femenino;35-44;Universidad;Mal Camino;Educación;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;35-44;Universidad;Buen Camino;Desempleo;Aprueba;Aprueba;Aprueba;Aprueba;Farc;Luis Antonio Ruiz Cicery;Argenis Garavito Arévalo
FLORENCIA;Femenino;25-34;Secundaria;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Ns / Nr;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;18-24;Secundaria;Mal Camino;Desempleo;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Alianza Social Independiente - ASI;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;18-24;Secundaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Arnulfo Gasca Trujillo;Luz Mila Cicery Ortiz
FLORENCIA;Masculino;45-54;Primaria;Ns / Nr;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Partido de la U;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Secundaria;Mal Camino;Inseguridad;Desaprueba;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;35-44;Posgrado;Mal Camino;Guerrilla;Ns/Nr;Desaprueba;Aprueba;Ns/Nr;Farc;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Secundaria;Mal Camino;Deforestación;Desaprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;Luis Antonio Ruiz Cicery;César Augusto Torres Ríos
FLORENCIA;Femenino;18-24;Tecnología;Buen Camino;Malla vial;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;Oscar Raúl Rojas;James Urrego Carvajal
FLORENCIA;Femenino;35-44;Posgrado;Buen Camino;Vivienda;Aprueba;Desaprueba;Aprueba;Aprueba;Partido Conservador;James Urrego Carvajal;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;Mayor de 55;Primaria;Buen Camino;Salud;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Partido Liberal;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Tecnología;Buen Camino;Corrupción;Desaprueba;Desaprueba;Ns/Nr;Aprueba;Ns / Nr;Oscar Raúl Rojas;Diego Ramírez Osorio
FLORENCIA;Masculino;45-54;Secundaria;Buen Camino;Explotación petrolera;Aprueba;Ns/Nr;Ns/Nr;Ns/Nr;Mira;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Femenino;35-44;Primaria;Mal Camino;Inseguridad;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Femenino;45-54;Secundaria;Mal Camino;Desempleo;Desaprueba;Ns/Nr;Desaprueba;Desaprueba;Mira;Luis Antonio Ruiz Cicery;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;35-44;Secundaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;18-24;Tecnología;Ns / Nr;Inseguridad;Aprueba;Ns/Nr;Ns/Nr;Desaprueba;Polo Democrático Alternativo;Oscar Conde Ortiz;Ns/Nr
FLORENCIA;Masculino;18-24;Tecnología;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Alianza Verde;Luis Antonio Ruiz Cicery;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;Mayor de 55;Primaria;Mal Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Femenino;35-44;Universidad;Ns / Nr;Desempleo;Ns/Nr;Ns/Nr;Ns/Nr;Ns/Nr;Partido Conservador;Arnulfo Gasca Trujillo;Luz Mila Cicery Ortiz
FLORENCIA;Masculino;Mayor de 55;Tecnología;Mal Camino;Inseguridad;Desaprueba;Ns/Nr;Desaprueba;Ns/Nr;Polo Democrático Alternativo;Oscar Conde Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;35-44;Universidad;Buen Camino;Desempleo;Aprueba;Ns/Nr;Ns/Nr;Ns/Nr;Cambio Radical;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Masculino;35-44;Secundaria;Mal Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;James Urrego Carvajal;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;18-24;Secundaria;Buen Camino;Corrupción;Desaprueba;Desaprueba;Aprueba;Desaprueba;Ns / Nr;James Urrego Carvajal;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Desempleo;Ns/Nr;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;35-44;Universidad;Ns / Nr;Corrupción;Desaprueba;Aprueba;Desaprueba;Aprueba;Partido Conservador;Arnulfo Gasca Trujillo;Oscar Raúl Rojas
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Corrupción;Desaprueba;Ns/Nr;Aprueba;Desaprueba;Centro Democrático;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Mal Camino;Inseguridad;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Luis Francisco Ruíz Aguilar;Oscar Raúl Rojas
FLORENCIA;Femenino;45-54;Secundaria;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Mira;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Secundaria;Mal Camino;Inseguridad;Aprueba;Desaprueba;Aprueba;Desaprueba;Mira;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Aprueba;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Ns / Nr;Desempleo;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Cambio Radical;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Secundaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Secundaria;Buen Camino;Inseguridad;Aprueba;Desaprueba;Aprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;18-24;Tecnología;Mal Camino;Desempleo;Desaprueba;Desaprueba;Aprueba;Desaprueba;Mira;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Femenino;35-44;Primaria;Mal Camino;Corrupción;Desaprueba;Ns/Nr;Ns/Nr;Desaprueba;Centro Democrático;César Augusto Torres Ríos;Diego Ramírez Osorio
FLORENCIA;Femenino;25-34;Secundaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Polo Democrático Alternativo;Luis Francisco Ruíz Aguilar;Ns/Nr
FLORENCIA;Masculino;35-44;Tecnología;Buen Camino;Corrupción;Desaprueba;Aprueba;Aprueba;Aprueba;Alianza Social Independiente - ASI;Luis Antonio Ruiz Cicery;James Urrego Carvajal
FLORENCIA;Masculino;35-44;Tecnología;Mal Camino;Desempleo;Desaprueba;Ns/Nr;Aprueba;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Primaria;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Aprueba;Desaprueba;Partido Conservador;Arnulfo Gasca Trujillo;James Urrego Carvajal
FLORENCIA;Femenino;45-54;Primaria;Buen Camino;Guerrilla;Aprueba;Aprueba;Aprueba;Aprueba;Ns / Nr;Luz Mila Cicery Ortiz;James Urrego Carvajal
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Aprueba;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Secundaria;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Partido de la U;Ns/Nr;Argenis Garavito Arévalo
FLORENCIA;Femenino;18-24;Secundaria;Mal Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;Luis Antonio Ruiz Cicery;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;45-54;Primaria;Ns / Nr;Malla vial;Ns/Nr;Aprueba;Desaprueba;Ns/Nr;Polo Democrático Alternativo;Oscar Conde Ortiz;James Urrego Carvajal
FLORENCIA;Masculino;18-24;Tecnología;Mal Camino;Desempleo;Desaprueba;Aprueba;Desaprueba;Desaprueba;Partido Liberal;Arnulfo Gasca Trujillo;Argenis Garavito Arévalo
FLORENCIA;Femenino;45-54;Secundaria;Buen Camino;Explotación petrolera;Aprueba;Desaprueba;Ns/Nr;Aprueba;Partido Conservador;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Desempleo;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Luis Francisco Ruíz Aguilar;Diego Ramírez Osorio
FLORENCIA;Masculino;25-34;Secundaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;45-54;Secundaria;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Partido de la U;Ns/Nr;Argenis Garavito Arévalo
FLORENCIA;Femenino;35-44;Primaria;Mal Camino;Inseguridad;Desaprueba;Desaprueba;Aprueba;Desaprueba;Ns / Nr;Luz Mila Cicery Ortiz;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Ns / Nr;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;César Augusto Torres Ríos;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;35-44;Secundaria;Buen Camino;Mototaxismo;Ns/Nr;Desaprueba;Aprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Corrupción;Ns/Nr;Desaprueba;Aprueba;Ns/Nr;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Corrupción;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Ns / Nr;Oscar Conde Ortiz;Ns/Nr
FLORENCIA;Masculino;35-44;Primaria;Buen Camino;Inseguridad;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;Oscar Raúl Rojas;Luis Antonio Ruiz Cicery
FLORENCIA;Masculino;35-44;Tecnología;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Partido de la U;Ns/Nr;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;25-34;Tecnología;Mal Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Buen Camino;Corrupción;Desaprueba;Ns/Nr;Aprueba;Ns/Nr;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Universidad;Buen Camino;Corrupción;Aprueba;Aprueba;Aprueba;Aprueba;Partido Conservador;James Urrego Carvajal;Luz Mila Cicery Ortiz
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Deforestación;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;Oscar Conde Ortiz;Diego Ramírez Osorio
FLORENCIA;Masculino;Mayor de 55;Primaria;Buen Camino;Corrupción;Desaprueba;Ns/Nr;Ns/Nr;Desaprueba;Partido Conservador;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;35-44;Universidad;Buen Camino;Salud;Desaprueba;Aprueba;Desaprueba;Ns/Nr;Partido Conservador;Arnulfo Gasca Trujillo;Oscar Raúl Rojas
FLORENCIA;Femenino;Mayor de 55;Primaria;Buen Camino;Corrupción;Ns/Nr;Ns/Nr;Desaprueba;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;45-54;Primaria;Mal Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Aprueba;Ns / Nr;César Augusto Torres Ríos;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;45-54;Primaria;Buen Camino;Corrupción;Ns/Nr;Desaprueba;Aprueba;Desaprueba;Partido Conservador;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;45-54;Primaria;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Buen Camino;Salud;Aprueba;Aprueba;Aprueba;Aprueba;Ns / Nr;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Femenino;25-34;Universidad;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Luis Francisco Ruíz Aguilar;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;Mayor de 55;Primaria;Buen Camino;Mototaxismo;Ns/Nr;Ns/Nr;Ns/Nr;Aprueba;Centro Democrático;James Urrego Carvajal;Ns/Nr
FLORENCIA;Femenino;45-54;Secundaria;Mal Camino;Desempleo;Aprueba;Desaprueba;Desaprueba;Desaprueba;Partido de la U;César Augusto Torres Ríos;Argenis Garavito Arévalo
FLORENCIA;Femenino;35-44;Primaria;Mal Camino;Explotación petrolera;Desaprueba;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;James Urrego Carvajal;Ns/Nr
FLORENCIA;Femenino;35-44;Primaria;Mal Camino;Desempleo;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Femenino;45-54;Primaria;Buen Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Conservador;César Augusto Torres Ríos;Oscar Conde Ortiz
FLORENCIA;Masculino;25-34;Secundaria;Mal Camino;Explotación petrolera;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Centro Democrático;Luis Antonio Ruiz Cicery;Argenis Garavito Arévalo
FLORENCIA;Femenino;35-44;Primaria;Mal Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Primaria;Buen Camino;Guerrilla;Aprueba;Ns/Nr;Aprueba;Aprueba;Cambio Radical;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Buen Camino;Desempleo;Aprueba;Aprueba;Aprueba;Aprueba;Ns / Nr;César Augusto Torres Ríos;Luz Mila Cicery Ortiz
FLORENCIA;Femenino;18-24;Universidad;Ns / Nr;Inseguridad;Ns/Nr;Desaprueba;Desaprueba;Ns/Nr;Alianza Social Independiente - ASI;Luis Antonio Ruiz Cicery;James Urrego Carvajal
FLORENCIA;Masculino;35-44;Primaria;Buen Camino;Desempleo;Ns/Nr;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;James Urrego Carvajal;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Mal Camino;Salud;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Centro Democrático;Ns/Nr;Oscar Raúl Rojas
FLORENCIA;Femenino;35-44;Universidad;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Ns/Nr;Partido Liberal;César Augusto Torres Ríos;James Urrego Carvajal
FLORENCIA;Femenino;25-34;Secundaria;Buen Camino;Desempleo;Ns/Nr;Ns/Nr;Aprueba;Ns/Nr;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Secundaria;Buen Camino;Desempleo;Desaprueba;Ns/Nr;Aprueba;Desaprueba;Ns / Nr;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Narcotráfico;Aprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Primaria;Buen Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;César Augusto Torres Ríos;Oscar Raúl Rojas
FLORENCIA;Femenino;18-24;Universidad;Mal Camino;Desempleo;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Alianza Verde;James Urrego Carvajal;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Explotación petrolera;Ns/Nr;Ns/Nr;Aprueba;Desaprueba;Partido Conservador;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;25-34;Secundaria;Buen Camino;Narcotráfico;Aprueba;Aprueba;Aprueba;Desaprueba;Partido Conservador;Arnulfo Gasca Trujillo;César Augusto Torres Ríos
FLORENCIA;Masculino;45-54;Universidad;Mal Camino;Deforestación;Aprueba;Desaprueba;Aprueba;Desaprueba;Alianza Verde;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;Mayor de 55;Primaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Aprueba;Desaprueba;Partido Liberal;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Masculino;18-24;Universidad;Mal Camino;Inseguridad;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;18-24;Tecnología;Buen Camino;Salud;Desaprueba;Desaprueba;Aprueba;Desaprueba;Cambio Radical;Diego Ramírez Osorio;James Urrego Carvajal
FLORENCIA;Femenino;Mayor de 55;Primaria;Ns / Nr;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;45-54;Secundaria;Ns / Nr;Desempleo;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;Ns/Nr;James Urrego Carvajal
FLORENCIA;Femenino;18-24;Universidad;Mal Camino;Corrupción;Desaprueba;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Tecnología;Buen Camino;Desempleo;Aprueba;Aprueba;Aprueba;Aprueba;Ns / Nr;Arnulfo Gasca Trujillo;Luis Antonio Ruiz Cicery
FLORENCIA;Masculino;Mayor de 55;Primaria;Buen Camino;Desempleo;Desaprueba;Desaprueba;Aprueba;Desaprueba;Partido Conservador;James Urrego Carvajal;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Buen Camino;Salud;Aprueba;Aprueba;Aprueba;Aprueba;Ns / Nr;Oscar Conde Ortiz;Ns/Nr
FLORENCIA;Masculino;45-54;Primaria;Buen Camino;Desempleo;Aprueba;Aprueba;Aprueba;Aprueba;Alianza Social Independiente - ASI;Luis Antonio Ruiz Cicery;Luz Mila Cicery Ortiz
FLORENCIA;Femenino;25-34;Universidad;Buen Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Ns/Nr;Partido Liberal;Oscar Raúl Rojas;James Urrego Carvajal
FLORENCIA;Masculino;35-44;Tecnología;Buen Camino;Desempleo;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Alianza Social Independiente - ASI;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Buen Camino;Corrupción;Aprueba;Desaprueba;Aprueba;Desaprueba;Partido Conservador;César Augusto Torres Ríos;Oscar Conde Ortiz
FLORENCIA;Masculino;35-44;Secundaria;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;César Augusto Torres Ríos;Ns/Nr
FLORENCIA;Femenino;45-54;Secundaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Polo Democrático Alternativo;Oscar Conde Ortiz;Luz Mila Cicery Ortiz
FLORENCIA;Masculino;45-54;Primaria;Ns / Nr;Guerrilla;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Polo Democrático Alternativo;Oscar Conde Ortiz;Ns/Nr
FLORENCIA;Masculino;35-44;Secundaria;Buen Camino;Explotación petrolera;Desaprueba;Aprueba;Aprueba;Aprueba;Ns / Nr;Oscar Conde Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;18-24;Tecnología;Buen Camino;Salud;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;Oscar Raúl Rojas;Luz Mila Cicery Ortiz
FLORENCIA;Masculino;25-34;Secundaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Alianza Verde;Luis Francisco Ruíz Aguilar;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Secundaria;Buen Camino;Narcotráfico;Aprueba;Aprueba;Aprueba;Aprueba;Centro Democrático;César Augusto Torres Ríos;Luis Antonio Ruiz Cicery
FLORENCIA;Masculino;18-24;Primaria;Mal Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Desaprueba;Cambio Radical;Diego Ramírez Osorio;Argenis Garavito Arévalo
FLORENCIA;Femenino;45-54;Primaria;Buen Camino;Desempleo;Ns/Nr;Ns/Nr;Ns/Nr;Aprueba;Partido Conservador;Luis Francisco Ruíz Aguilar;Ns/Nr
FLORENCIA;Masculino;35-44;Tecnología;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Desaprueba;Ns/Nr;Ns / Nr;Oscar Raúl Rojas;César Augusto Torres Ríos
FLORENCIA;Masculino;35-44;Primaria;Buen Camino;Deforestación;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Farc;Argenis Garavito Arévalo;Ns/Nr
FLORENCIA;Masculino;45-54;Secundaria;Mal Camino;Inseguridad;Aprueba;Aprueba;Aprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Partido Liberal;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Femenino;35-44;Secundaria;Buen Camino;Desempleo;Aprueba;Desaprueba;Aprueba;Aprueba;Ns / Nr;Arnulfo Gasca Trujillo;Diego Ramírez Osorio
FLORENCIA;Femenino;35-44;Secundaria;Buen Camino;Corrupción;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Secundaria;Mal Camino;Explotación petrolera;Desaprueba;Ns/Nr;Ns/Nr;Desaprueba;Alianza Social Independiente - ASI;James Urrego Carvajal;Ns/Nr
FLORENCIA;Femenino;35-44;Universidad;Buen Camino;Desempleo;Aprueba;Desaprueba;Desaprueba;Desaprueba;Ns / Nr;James Urrego Carvajal;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;25-34;Tecnología;Ns / Nr;Malla vial;Ns/Nr;Aprueba;Desaprueba;Desaprueba;Centro Democrático;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Desempleo;Desaprueba;Ns/Nr;Desaprueba;Ns/Nr;Partido Conservador;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;45-54;Universidad;Mal Camino;Salud;Ns/Nr;Desaprueba;Ns/Nr;Desaprueba;Partido Liberal;Luis Francisco Ruíz Aguilar;Oscar Raúl Rojas
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Desempleo;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Cambio Radical;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;18-24;Secundaria;Buen Camino;Salud;Aprueba;Ns/Nr;Aprueba;Desaprueba;Ns / Nr;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;35-44;Tecnología;Mal Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Aprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Primaria;Mal Camino;Corrupción;Aprueba;Aprueba;Desaprueba;Desaprueba;Partido Conservador;Argenis Garavito Arévalo;Luis Francisco Ruíz Aguilar
FLORENCIA;Femenino;45-54;Tecnología;Mal Camino;Salud;Aprueba;Ns/Nr;Ns/Nr;Ns/Nr;Centro Democrático;Arnulfo Gasca Trujillo;César Augusto Torres Ríos
