Municipio, ID, Usted_considera_que_Colombia_va_por_buen_camino_o_mal_camino, Usted_considera_que_el_departamento_de_Caqueta_va_por_buen_camino_o_mal_camino, De_los_siguientes_problemas_cual_cree_que_es_el_que_mas_afecta_a_su_municipio, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_los_siguientes_personajes_publicos_Representante_Harry_Giovanny_Gonzalez_Garcia, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_los_siguientes_personajes_publicos_Representante_Edwin_Alberto_Valdez_Rodriguez, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_los_siguientes_personajes_publicos_Gobernador_alvaro_Pacheco_alvarez, Con_cual_de_los_siguientes_partidos_o_movimientos_politicos_se_siente_mas_afin, Si_las_elecciones_para_elegir_Gobernador_del_Caqueta_fueran_hoy_por_cual_de_los_siguientes_candidatos_usted_votaria, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_el_Alcalde_de_Florencia_Andres_Mauricio_Perdomo_Lara, Estrato, Genero, Edad, ultimo_nivel_educativo, Estado_civil
FLORENCIA,417,Buen Camino,Buen Camino,Desempleo,Aprueba,Desaprueba,Aprueba,Ns / Nr,Ns/Nr,Desaprueba,2,Femenino,Mayor de 55,Secundaria,Unión libre
FLORENCIA,418,Mal Camino,Mal Camino,Corrupción,Ns/Nr,Ns/Nr,Desaprueba,Partido Liberal,Ns/Nr,Desaprueba,2,Masculino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,419,Mal Camino,Mal Camino,Desempleo,Desaprueba,Desaprueba,Aprueba,Mira,César Augusto Torres Ríos,Desaprueba,1,Femenino,18-24,Tecnología,Unión libre
FLORENCIA,420,Mal Camino,Mal Camino,Corrupción,Desaprueba,Ns/Nr,Ns/Nr,Centro Democrático,César Augusto Torres Ríos,Desaprueba,2,Femenino,35-44,Primaria,Casado
FLORENCIA,421,Mal Camino,Mal Camino,Corrupción,Desaprueba,Desaprueba,Desaprueba,Polo Democrático Alternativo,Luis Francisco Ruíz Aguilar,Desaprueba,1,Femenino,25-34,Secundaria,Soltero
FLORENCIA,422,Mal Camino,Buen Camino,Malla vial,Desaprueba,Aprueba,Aprueba,Alianza Social Independiente - ASI,Luis Antonio Ruiz Cicery,Aprueba,1,Masculino,35-44,Tecnología,Unión libre
FLORENCIA,423,Mal Camino,Mal Camino,Salud,Desaprueba,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Aprueba,1,Masculino,35-44,Tecnología,Casado
FLORENCIA,424,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Aprueba,Partido Conservador,Arnulfo Gasca Trujillo,Desaprueba,1,Masculino,45-54,Primaria,Casado
FLORENCIA,425,Mal Camino,Buen Camino,Mototaxismo,Aprueba,Aprueba,Aprueba,Ns / Nr,Luz Mila Cicery Ortiz,Aprueba,1,Femenino,45-54,Primaria,Casado
FLORENCIA,426,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Aprueba,1,Femenino,35-44,Secundaria,Unión libre
FLORENCIA,427,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Partido de la U,Ns/Nr,Desaprueba,2,Masculino,45-54,Secundaria,Soltero
FLORENCIA,428,Mal Camino,Mal Camino,Corrupción,Aprueba,Ns/Nr,Aprueba,Partido Liberal,Luis Antonio Ruiz Cicery,Desaprueba,1,Femenino,18-24,Secundaria,Soltero
FLORENCIA,429,Buen Camino,Ns / Nr,Vivienda,Ns/Nr,Aprueba,Desaprueba,Polo Democrático Alternativo,Oscar Conde Ortiz,Ns/Nr,1,Femenino,45-54,Primaria,Separado/Viudo
FLORENCIA,430,Mal Camino,Mal Camino,Mototaxismo,Desaprueba,Aprueba,Desaprueba,Partido Liberal,Arnulfo Gasca Trujillo,Desaprueba,1,Masculino,18-24,Tecnología,Unión libre
FLORENCIA,431,Buen Camino,Buen Camino,Deforestación,Aprueba,Desaprueba,Ns/Nr,Partido Conservador,César Augusto Torres Ríos,Aprueba,2,Femenino,45-54,Secundaria,Unión libre
FLORENCIA,432,Mal Camino,Mal Camino,Educación,Desaprueba,Desaprueba,Desaprueba,Ns / Nr,Luis Francisco Ruíz Aguilar,Desaprueba,1,Masculino,25-34,Universidad,Unión libre
FLORENCIA,433,Mal Camino,Mal Camino,Corrupción,Desaprueba,Desaprueba,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,25-34,Secundaria,Unión libre
FLORENCIA,434,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Partido de la U,Ns/Nr,Desaprueba,2,Masculino,45-54,Secundaria,Soltero
FLORENCIA,435,Mal Camino,Mal Camino,Corrupción,Desaprueba,Desaprueba,Aprueba,Ns / Nr,Luz Mila Cicery Ortiz,Desaprueba,1,Femenino,35-44,Primaria,Unión libre
FLORENCIA,436,Mal Camino,Buen Camino,Inseguridad,Aprueba,Ns/Nr,Aprueba,Partido Liberal,César Augusto Torres Ríos,Desaprueba,1,Femenino,Mayor de 55,Ns / Nr,Separado/Viudo
FLORENCIA,437,Mal Camino,Buen Camino,Corrupción,Ns/Nr,Desaprueba,Aprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,35-44,Secundaria,Unión libre
FLORENCIA,438,Ns / Nr,Mal Camino,Desempleo,Ns/Nr,Desaprueba,Aprueba,Ns / Nr,Ns/Nr,Ns/Nr,1,Femenino,35-44,Secundaria,Unión libre
FLORENCIA,439,Mal Camino,Mal Camino,Corrupción,Aprueba,Ns/Nr,Desaprueba,Ns / Nr,Oscar Conde Ortiz,Desaprueba,1,Masculino,25-34,Universidad,Casado
FLORENCIA,440,Buen Camino,Buen Camino,Inseguridad,Aprueba,Desaprueba,Aprueba,Partido Liberal,Oscar Raúl Rojas,Desaprueba,1,Masculino,35-44,Primaria,Casado
FLORENCIA,441,Mal Camino,Mal Camino,Desempleo,Desaprueba,Desaprueba,Desaprueba,Partido de la U,Ns/Nr,Desaprueba,1,Masculino,35-44,Tecnología,Unión libre
FLORENCIA,442,Mal Camino,Mal Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Partido Liberal,Luis Antonio Ruiz Cicery,Desaprueba,1,Femenino,25-34,Tecnología,Soltero
FLORENCIA,443,Mal Camino,Buen Camino,Inseguridad,Desaprueba,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Ns/Nr,2,Femenino,Mayor de 55,Primaria,Casado
FLORENCIA,444,Buen Camino,Buen Camino,Educación,Aprueba,Aprueba,Aprueba,Partido Conservador,James Urrego Carvajal,Aprueba,1,Femenino,25-34,Universidad,Unión libre
FLORENCIA,445,Mal Camino,Mal Camino,Inseguridad,Aprueba,Desaprueba,Aprueba,Partido Liberal,Oscar Conde Ortiz,Desaprueba,1,Masculino,Mayor de 55,Primaria,Unión libre
FLORENCIA,446,Mal Camino,Buen Camino,Desempleo,Desaprueba,Ns/Nr,Ns/Nr,Partido Conservador,Ns/Nr,Desaprueba,2,Masculino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,447,Buen Camino,Buen Camino,Mototaxismo,Desaprueba,Aprueba,Desaprueba,Partido Conservador,Arnulfo Gasca Trujillo,Ns/Nr,1,Masculino,35-44,Universidad,Unión libre
FLORENCIA,448,Mal Camino,Buen Camino,Inseguridad,Ns/Nr,Ns/Nr,Desaprueba,Ns / Nr,Ns/Nr,Aprueba,1,Femenino,Mayor de 55,Primaria,Soltero
FLORENCIA,449,Ns / Nr,Mal Camino,Inseguridad,Aprueba,Desaprueba,Aprueba,Ns / Nr,César Augusto Torres Ríos,Aprueba,1,Femenino,45-54,Primaria,Unión libre
FLORENCIA,450,Buen Camino,Buen Camino,Desempleo,Ns/Nr,Desaprueba,Aprueba,Partido Conservador,Ns/Nr,Desaprueba,1,Femenino,45-54,Primaria,Unión libre
FLORENCIA,451,Mal Camino,Mal Camino,Corrupción,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,1,Femenino,45-54,Primaria,Unión libre
FLORENCIA,452,Buen Camino,Buen Camino,Salud,Aprueba,Aprueba,Aprueba,Ns / Nr,Arnulfo Gasca Trujillo,Aprueba,1,Femenino,25-34,Tecnología,Unión libre
FLORENCIA,453,Mal Camino,Mal Camino,Corrupción,Desaprueba,Desaprueba,Desaprueba,Ns / Nr,Luis Francisco Ruíz Aguilar,Desaprueba,1,Femenino,25-34,Universidad,Unión libre
FLORENCIA,454,Buen Camino,Buen Camino,Desempleo,Ns/Nr,Ns/Nr,Ns/Nr,Centro Democrático,James Urrego Carvajal,Aprueba,1,Masculino,Mayor de 55,Primaria,Unión libre
FLORENCIA,455,Mal Camino,Mal Camino,Desempleo,Aprueba,Desaprueba,Desaprueba,Partido de la U,César Augusto Torres Ríos,Desaprueba,2,Femenino,45-54,Secundaria,Casado
FLORENCIA,456,Mal Camino,Mal Camino,Corrupción,Desaprueba,Ns/Nr,Desaprueba,Partido Liberal,James Urrego Carvajal,Desaprueba,4,Femenino,35-44,Primaria,Separado/Viudo
FLORENCIA,457,Mal Camino,Mal Camino,Corrupción,Aprueba,Ns/Nr,Desaprueba,Partido Liberal,Arnulfo Gasca Trujillo,Desaprueba,2,Femenino,35-44,Primaria,Casado
FLORENCIA,458,Mal Camino,Buen Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Partido Conservador,César Augusto Torres Ríos,Desaprueba,1,Femenino,45-54,Primaria,Casado
FLORENCIA,459,Mal Camino,Mal Camino,Desempleo,Aprueba,Ns/Nr,Desaprueba,Centro Democrático,Luis Antonio Ruiz Cicery,Desaprueba,1,Masculino,25-34,Secundaria,Soltero
FLORENCIA,460,Mal Camino,Mal Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Aprueba,1,Femenino,35-44,Primaria,Unión libre
FLORENCIA,461,Buen Camino,Buen Camino,Guerrilla,Aprueba,Ns/Nr,Aprueba,Cambio Radical,Arnulfo Gasca Trujillo,Aprueba,1,Masculino,45-54,Primaria,Casado
FLORENCIA,462,Mal Camino,Buen Camino,Educación,Aprueba,Aprueba,Aprueba,Ns / Nr,César Augusto Torres Ríos,Aprueba,1,Femenino,Mayor de 55,Primaria,Casado
FLORENCIA,463,Buen Camino,Ns / Nr,Inseguridad,Ns/Nr,Desaprueba,Desaprueba,Alianza Social Independiente - ASI,Luis Antonio Ruiz Cicery,Ns/Nr,1,Femenino,18-24,Universidad,Soltero
FLORENCIA,464,Mal Camino,Buen Camino,Corrupción,Ns/Nr,Ns/Nr,Aprueba,Partido Liberal,James Urrego Carvajal,Desaprueba,1,Masculino,35-44,Primaria,Unión libre
FLORENCIA,465,Mal Camino,Mal Camino,Salud,Ns/Nr,Ns/Nr,Desaprueba,Centro Democrático,Ns/Nr,Desaprueba,1,Femenino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,466,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Partido Liberal,César Augusto Torres Ríos,Ns/Nr,1,Femenino,35-44,Universidad,Casado
FLORENCIA,467,Buen Camino,Buen Camino,Desempleo,Ns/Nr,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Ns/Nr,1,Femenino,25-34,Secundaria,Unión libre
FLORENCIA,468,Buen Camino,Buen Camino,Inseguridad,Desaprueba,Ns/Nr,Aprueba,Ns / Nr,Arnulfo Gasca Trujillo,Desaprueba,1,Masculino,Mayor de 55,Secundaria,Casado
FLORENCIA,469,Mal Camino,Mal Camino,Corrupción,Aprueba,Desaprueba,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,2,Masculino,25-34,Universidad,Casado
FLORENCIA,470,Mal Camino,Buen Camino,Vivienda,Aprueba,Desaprueba,Aprueba,Partido Liberal,César Augusto Torres Ríos,Desaprueba,1,Masculino,45-54,Primaria,Unión libre
FLORENCIA,471,Mal Camino,Mal Camino,Inseguridad,Desaprueba,Desaprueba,Desaprueba,Alianza Verde,James Urrego Carvajal,Desaprueba,2,Femenino,18-24,Universidad,Unión libre
FLORENCIA,472,Mal Camino,Mal Camino,Deforestación,Ns/Nr,Ns/Nr,Aprueba,Partido Conservador,Luis Antonio Ruiz Cicery,Desaprueba,1,Masculino,Mayor de 55,Primaria,Unión libre
FLORENCIA,473,Mal Camino,Buen Camino,Inseguridad,Aprueba,Aprueba,Aprueba,Partido Conservador,Arnulfo Gasca Trujillo,Desaprueba,1,Masculino,25-34,Secundaria,Casado
FLORENCIA,474,Mal Camino,Mal Camino,Corrupción,Aprueba,Desaprueba,Aprueba,Alianza Verde,Ns/Nr,Desaprueba,2,Masculino,45-54,Universidad,Casado
FLORENCIA,475,Mal Camino,Mal Camino,Corrupción,Desaprueba,Desaprueba,Aprueba,Partido Liberal,Arnulfo Gasca Trujillo,Desaprueba,1,Masculino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,476,Mal Camino,Mal Camino,Inseguridad,Desaprueba,Desaprueba,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,18-24,Universidad,Unión libre
FLORENCIA,477,Buen Camino,Buen Camino,Vivienda,Desaprueba,Desaprueba,Aprueba,Cambio Radical,Diego Ramírez Osorio,Desaprueba,1,Masculino,18-24,Tecnología,Unión libre
FLORENCIA,478,Ns / Nr,Ns / Nr,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,1,Femenino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,479,Ns / Nr,Ns / Nr,Corrupción,Aprueba,Ns/Nr,Aprueba,Partido Liberal,Ns/Nr,Desaprueba,2,Femenino,45-54,Secundaria,Unión libre
FLORENCIA,480,Mal Camino,Mal Camino,Inseguridad,Desaprueba,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,2,Femenino,18-24,Universidad,Soltero
FLORENCIA,481,Buen Camino,Buen Camino,Mototaxismo,Aprueba,Aprueba,Aprueba,Ns / Nr,Arnulfo Gasca Trujillo,Aprueba,1,Masculino,25-34,Tecnología,Unión libre
FLORENCIA,482,Mal Camino,Buen Camino,Desempleo,Desaprueba,Desaprueba,Aprueba,Partido Conservador,James Urrego Carvajal,Desaprueba,1,Masculino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,483,Buen Camino,Buen Camino,Salud,Aprueba,Aprueba,Aprueba,Ns / Nr,Oscar Conde Ortiz,Aprueba,1,Femenino,25-34,Tecnología,Soltero
FLORENCIA,484,Buen Camino,Buen Camino,Corrupción,Aprueba,Aprueba,Aprueba,Alianza Social Independiente - ASI,Luis Antonio Ruiz Cicery,Aprueba,1,Masculino,45-54,Primaria,Casado
FLORENCIA,485,Ns / Nr,Buen Camino,Vivienda,Aprueba,Desaprueba,Aprueba,Partido Liberal,Oscar Raúl Rojas,Ns/Nr,1,Femenino,25-34,Universidad,Unión libre
FLORENCIA,486,Buen Camino,Buen Camino,Corrupción,Desaprueba,Desaprueba,Desaprueba,Alianza Social Independiente - ASI,Arnulfo Gasca Trujillo,Desaprueba,1,Masculino,35-44,Tecnología,Unión libre
FLORENCIA,487,Mal Camino,Buen Camino,Corrupción,Aprueba,Desaprueba,Aprueba,Partido Conservador,César Augusto Torres Ríos,Desaprueba,1,Femenino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,488,Mal Camino,Mal Camino,Corrupción,Ns/Nr,Ns/Nr,Aprueba,Partido Liberal,César Augusto Torres Ríos,Desaprueba,1,Masculino,35-44,Secundaria,Separado/Viudo
FLORENCIA,489,Mal Camino,Mal Camino,Desempleo,Desaprueba,Desaprueba,Desaprueba,Polo Democrático Alternativo,Oscar Conde Ortiz,Desaprueba,2,Femenino,45-54,Secundaria,Casado
FLORENCIA,490,Mal Camino,Ns / Nr,Guerrilla,Aprueba,Ns/Nr,Desaprueba,Polo Democrático Alternativo,Oscar Conde Ortiz,Desaprueba,2,Masculino,45-54,Primaria,Casado
FLORENCIA,491,Mal Camino,Buen Camino,Malla vial,Desaprueba,Aprueba,Aprueba,Ns / Nr,Oscar Conde Ortiz,Aprueba,1,Masculino,35-44,Secundaria,Unión libre
FLORENCIA,492,Buen Camino,Buen Camino,Mototaxismo,Aprueba,Ns/Nr,Aprueba,Partido Liberal,Oscar Raúl Rojas,Desaprueba,1,Masculino,18-24,Tecnología,Soltero
FLORENCIA,493,Mal Camino,Mal Camino,Desempleo,Desaprueba,Desaprueba,Desaprueba,Alianza Verde,Luis Francisco Ruíz Aguilar,Desaprueba,1,Masculino,25-34,Secundaria,Unión libre
FLORENCIA,494,Buen Camino,Buen Camino,Mototaxismo,Aprueba,Aprueba,Aprueba,Centro Democrático,César Augusto Torres Ríos,Aprueba,1,Femenino,35-44,Secundaria,Casado
FLORENCIA,495,Mal Camino,Mal Camino,Educación,Aprueba,Desaprueba,Aprueba,Cambio Radical,Diego Ramírez Osorio,Desaprueba,1,Masculino,18-24,Primaria,Casado
FLORENCIA,496,Buen Camino,Buen Camino,Desempleo,Ns/Nr,Ns/Nr,Ns/Nr,Partido Conservador,Luis Francisco Ruíz Aguilar,Aprueba,1,Femenino,45-54,Primaria,Separado/Viudo
FLORENCIA,497,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Desaprueba,Ns / Nr,Oscar Raúl Rojas,Ns/Nr,1,Masculino,35-44,Tecnología,Unión libre
FLORENCIA,498,Buen Camino,Buen Camino,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Farc,Argenis Garavito Arévalo,Desaprueba,1,Masculino,35-44,Primaria,Unión libre
FLORENCIA,499,Mal Camino,Mal Camino,Corrupción,Aprueba,Aprueba,Aprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,45-54,Secundaria,Unión libre
FLORENCIA,500,Mal Camino,Mal Camino,Corrupción,Desaprueba,Desaprueba,Desaprueba,Partido Liberal,Arnulfo Gasca Trujillo,Desaprueba,1,Masculino,25-34,Universidad,Unión libre
FLORENCIA,501,Mal Camino,Buen Camino,Vivienda,Aprueba,Desaprueba,Aprueba,Ns / Nr,Arnulfo Gasca Trujillo,Aprueba,1,Femenino,35-44,Secundaria,Unión libre
FLORENCIA,502,Mal Camino,Buen Camino,Inseguridad,Aprueba,Ns/Nr,Aprueba,Partido Liberal,Ns/Nr,Desaprueba,1,Femenino,35-44,Secundaria,Unión libre
FLORENCIA,503,Ns / Nr,Mal Camino,Corrupción,Desaprueba,Ns/Nr,Ns/Nr,Alianza Social Independiente - ASI,James Urrego Carvajal,Desaprueba,1,Femenino,25-34,Secundaria,Unión libre
FLORENCIA,504,Ns / Nr,Buen Camino,Desempleo,Aprueba,Desaprueba,Desaprueba,Ns / Nr,James Urrego Carvajal,Desaprueba,2,Femenino,35-44,Universidad,Soltero
FLORENCIA,505,Ns / Nr,Ns / Nr,Malla vial,Ns/Nr,Aprueba,Desaprueba,Centro Democrático,Ns/Nr,Desaprueba,1,Femenino,25-34,Tecnología,Unión libre
FLORENCIA,506,Mal Camino,Mal Camino,Explotación petrolera,Desaprueba,Ns/Nr,Desaprueba,Partido Conservador,Ns/Nr,Ns/Nr,1,Femenino,35-44,Secundaria,Unión libre
FLORENCIA,507,Mal Camino,Mal Camino,Explotación petrolera,Ns/Nr,Desaprueba,Ns/Nr,Partido Liberal,Luis Francisco Ruíz Aguilar,Desaprueba,1,Femenino,45-54,Universidad,Unión libre
FLORENCIA,508,Mal Camino,Mal Camino,Desempleo,Desaprueba,Desaprueba,Desaprueba,Cambio Radical,Ns/Nr,Desaprueba,2,Masculino,25-34,Universidad,Soltero
FLORENCIA,509,Buen Camino,Buen Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Ns / Nr,Luis Antonio Ruiz Cicery,Desaprueba,2,Masculino,18-24,Secundaria,Soltero
FLORENCIA,510,Mal Camino,Mal Camino,Inseguridad,Aprueba,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Aprueba,1,Femenino,35-44,Tecnología,Unión libre
FLORENCIA,511,Mal Camino,Mal Camino,Malla vial,Aprueba,Aprueba,Desaprueba,Partido Conservador,Argenis Garavito Arévalo,Desaprueba,1,Femenino,Mayor de 55,Primaria,Unión libre
FLORENCIA,512,Buen Camino,Mal Camino,Inseguridad,Aprueba,Ns/Nr,Ns/Nr,Centro Democrático,Arnulfo Gasca Trujillo,Ns/Nr,1,Femenino,45-54,Tecnología,Casado
FLORENCIA,513,Buen Camino,Ns / Nr,Malla vial,Desaprueba,Aprueba,Desaprueba,Partido Conservador,Arnulfo Gasca Trujillo,Ns/Nr,1,Masculino,25-34,Universidad,Soltero
FLORENCIA,514,Buen Camino,Mal Camino,Inseguridad,Desaprueba,Desaprueba,Desaprueba,Alianza Social Independiente - ASI,Luis Antonio Ruiz Cicery,Desaprueba,2,Femenino,Mayor de 55,Secundaria,Separado/Viudo
FLORENCIA,515,Mal Camino,Mal Camino,Corrupción,Desaprueba,Ns/Nr,Ns/Nr,Partido de la U,Ns/Nr,Desaprueba,2,Femenino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,516,Buen Camino,Mal Camino,Inseguridad,Aprueba,Aprueba,Desaprueba,Farc,Arnulfo Gasca Trujillo,Aprueba,1,Masculino,35-44,Primaria,Casado
FLORENCIA,517,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Desaprueba,Aprueba,Ns / Nr,César Augusto Torres Ríos,Desaprueba,2,Masculino,45-54,Secundaria,Unión libre
FLORENCIA,518,Mal Camino,Mal Camino,Malla vial,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,1,Femenino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,519,Mal Camino,Mal Camino,Salud,Ns/Nr,Ns/Nr,Ns/Nr,Polo Democrático Alternativo,Luis Antonio Ruiz Cicery,Desaprueba,2,Femenino,18-24,Secundaria,Soltero
FLORENCIA,520,Buen Camino,Buen Camino,Mototaxismo,Aprueba,Aprueba,Aprueba,Ns / Nr,César Augusto Torres Ríos,Desaprueba,1,Femenino,18-24,Tecnología,Soltero
FLORENCIA,521,Mal Camino,Buen Camino,Corrupción,Ns/Nr,Desaprueba,Ns/Nr,Ns / Nr,Ns/Nr,Ns/Nr,2,Masculino,25-34,Universidad,Soltero
FLORENCIA,522,Mal Camino,Buen Camino,Desempleo,Aprueba,Aprueba,Aprueba,Partido Liberal,Ns/Nr,Desaprueba,1,Masculino,45-54,Secundaria,Casado
FLORENCIA,523,Mal Camino,Mal Camino,Corrupción,Aprueba,Ns/Nr,Aprueba,Partido Liberal,César Augusto Torres Ríos,Desaprueba,2,Masculino,35-44,Secundaria,Unión libre
FLORENCIA,524,Ns / Nr,Buen Camino,Mototaxismo,Aprueba,Desaprueba,Aprueba,Partido Liberal,Oscar Raúl Rojas,Ns/Nr,1,Femenino,35-44,Universidad,Casado
FLORENCIA,525,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,2,Masculino,18-24,Secundaria,Soltero
FLORENCIA,526,Mal Camino,Ns / Nr,Inseguridad,Desaprueba,Ns/Nr,Ns/Nr,Partido Liberal,Ns/Nr,Desaprueba,2,Masculino,Mayor de 55,Primaria,Unión libre
FLORENCIA,527,Buen Camino,Buen Camino,Vivienda,Aprueba,Aprueba,Aprueba,Cambio Radical,César Augusto Torres Ríos,Desaprueba,1,Masculino,35-44,Primaria,Casado
FLORENCIA,528,Mal Camino,Mal Camino,Inseguridad,Desaprueba,Ns/Nr,Aprueba,Ns / Nr,Luis Antonio Ruiz Cicery,Aprueba,1,Masculino,25-34,Primaria,Soltero
FLORENCIA,529,Ns / Nr,Buen Camino,Vivienda,Aprueba,Ns/Nr,Aprueba,Partido Liberal,César Augusto Torres Ríos,Ns/Nr,2,Femenino,Mayor de 55,Primaria,Unión libre
FLORENCIA,530,Mal Camino,Mal Camino,Desempleo,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,César Augusto Torres Ríos,Desaprueba,1,Masculino,25-34,Universidad,Soltero
FLORENCIA,531,Mal Camino,Buen Camino,Desempleo,Desaprueba,Ns/Nr,Aprueba,Ns / Nr,Oscar Conde Ortiz,Desaprueba,1,Masculino,25-34,Tecnología,Soltero
FLORENCIA,532,Buen Camino,Buen Camino,Salud,Aprueba,Aprueba,Aprueba,Ns / Nr,César Augusto Torres Ríos,Aprueba,1,Femenino,35-44,Universidad,Casado
FLORENCIA,533,Buen Camino,Ns / Nr,Malla vial,Aprueba,Ns/Nr,Desaprueba,Partido Conservador,Arnulfo Gasca Trujillo,Desaprueba,1,Femenino,45-54,Tecnología,Casado
FLORENCIA,534,Mal Camino,Mal Camino,Malla vial,Aprueba,Ns/Nr,Aprueba,Mira,Ns/Nr,Ns/Nr,1,Masculino,25-34,Universidad,Unión libre
FLORENCIA,535,Buen Camino,Buen Camino,Corrupción,Aprueba,Aprueba,Aprueba,Alianza Social Independiente - ASI,Luis Antonio Ruiz Cicery,Aprueba,1,Femenino,35-44,Primaria,Soltero
FLORENCIA,536,Mal Camino,Mal Camino,Educación,Desaprueba,Desaprueba,Aprueba,Ns / Nr,Oscar Raúl Rojas,Desaprueba,1,Masculino,35-44,Primaria,Casado
FLORENCIA,537,Mal Camino,Mal Camino,Vivienda,Aprueba,Ns/Nr,Aprueba,Ns / Nr,César Augusto Torres Ríos,Desaprueba,1,Femenino,45-54,Secundaria,Separado/Viudo
FLORENCIA,538,Buen Camino,Buen Camino,Minería Ilegal,Aprueba,Aprueba,Aprueba,Centro Democrático,Arnulfo Gasca Trujillo,Aprueba,1,Masculino,45-54,Primaria,Casado
FLORENCIA,539,Mal Camino,Mal Camino,Salud,Desaprueba,Desaprueba,Aprueba,Ns / Nr,Ns/Nr,Aprueba,1,Femenino,25-34,Universidad,Soltero
FLORENCIA,540,Buen Camino,Buen Camino,Educación,Desaprueba,Ns/Nr,Aprueba,Partido Liberal,Oscar Raúl Rojas,Desaprueba,1,Masculino,18-24,Tecnología,Soltero
FLORENCIA,541,Buen Camino,Mal Camino,Salud,Ns/Nr,Ns/Nr,Ns/Nr,Partido de la U,César Augusto Torres Ríos,Aprueba,1,Femenino,18-24,Tecnología,Casado
FLORENCIA,542,Buen Camino,Buen Camino,Vivienda,Aprueba,Desaprueba,Ns/Nr,Alianza Verde,César Augusto Torres Ríos,Desaprueba,1,Masculino,25-34,Secundaria,Unión libre
FLORENCIA,543,Buen Camino,Buen Camino,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Cambio Radical,Arnulfo Gasca Trujillo,Ns/Nr,1,Masculino,Mayor de 55,Primaria,Casado
FLORENCIA,544,Buen Camino,Buen Camino,Salud,Ns/Nr,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Ns/Nr,1,Femenino,25-34,Tecnología,Soltero
FLORENCIA,545,Buen Camino,Mal Camino,Corrupción,Ns/Nr,Ns/Nr,Ns/Nr,Farc,Arnulfo Gasca Trujillo,Aprueba,1,Femenino,18-24,Universidad,Soltero
FLORENCIA,546,Mal Camino,Mal Camino,Corrupción,Aprueba,Desaprueba,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Femenino,18-24,Universidad,Soltero
FLORENCIA,547,Mal Camino,Mal Camino,Inseguridad,Aprueba,Desaprueba,Aprueba,Partido Liberal,Luis Antonio Ruiz Cicery,Desaprueba,1,Femenino,18-24,Secundaria,Unión libre
FLORENCIA,548,Buen Camino,Buen Camino,Vivienda,Aprueba,Ns/Nr,Aprueba,Cambio Radical,César Augusto Torres Ríos,Desaprueba,1,Masculino,18-24,Secundaria,Unión libre
